# %ECSV 0.9
# ---
# datatype:
# - {name: E, unit: GeV, datatype: float64}
# - {name: flux_UL * E^2, unit: GeV / (cm2 s), datatype: float64}
# meta: !!omap
# - {RA: 0}
# - {DEC: 0}
# - {RoI: 2.5}
# - __serialized_columns__:
#     E:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: GeV}
#       value: !astropy.table.SerializedColumn {name: E}
#     flux_UL * E^2:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: GeV / (cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux_UL * E^2}
# schema: astropy-2.0
E "flux_UL * E^2"
0.1 0.003421209752559662
0.11768119524349985 0.0029071848937176226
0.1384886371393873 0.0024703905402868706
0.16297508346206444 0.0020992225278361593
0.19179102616724888 0.0017838215773198912
0.22570197196339203 0.0015158085899840505
0.2656087782946686 0.0012880634259592604
0.3125715849688236 0.0010945364613822194
0.3678379771828633 0.0009300862627962248
0.43287612810830584 0.0007903438144504951
0.509413801481638 0.0006715975005853395
0.599484250318941 0.0005706922072484409
0.7054802310718642 0.0004849477185489015
0.8302175681319743 0.0004120859764560543
0.9770099572992251 0.0003501714891136869
1.1497569953977356 0.00029755936850279303
1.3530477745798069 0.0002528521370720961
1.5922827933410921 0.00021486197079551838
1.8738174228603839 0.0001825796816397466
2.2051307399030455 0.00015514769622063595
2.595024211399736 0.0001318373268108053
3.0538555088334154 0.00011202921090385366
3.5938136638046276 9.519719846363423e-05
4.229242874389499 8.089415029573472e-05
4.977023564332109 6.874007942121687e-05
5.8570208180566645 5.8412119238225605e-05
6.892612104349695 4.963590292103779e-05
8.111308307896868 4.217827966368471e-05
9.545484566618338 3.584113405291381e-05
11.233240329780276 3.0456130936458624e-05
13.219411484660288 2.5880195257348745e-05
15.556761439304722 2.1991787108449822e-05
18.30738280295368 1.8687598443177743e-05
21.54434690031882 1.5879848400777916e-05
25.353644939701113 1.3493955621294852e-05
29.836472402833373 1.146653815949724e-05
35.11191734215131 9.74372984046915e-06
41.320124001153346 8.279765571232844e-06
48.62601580065353 7.0357610188095715e-06
57.22367659350214 5.978662264167543e-06
67.34150657750821 5.0803879789533296e-06
79.24828983539169 4.317077379849263e-06
93.26033468832199 3.6684512406142364e-06
109.74987654930557 3.117279009512397e-06
129.1549665014884 2.6489184355279012e-06
151.99110829529332 2.2509278756001007e-06
178.8649529057435 1.912733245642425e-06
210.49041445120199 1.625351907519188e-06
247.70763559917089 1.3811482844615538e-06
291.50530628251755 1.1736355310241075e-06
343.04692863149154 9.973007935641606e-07
403.70172585965537 8.474598570117071e-07
475.0810162102793 7.201318860342643e-07
559.0810182512223 6.119346277291152e-07
657.9332246575676 5.199934973968609e-07
774.263682681127 4.418662873560923e-07
911.1627561154887 3.7547732642843394e-07
1072.2672220103232 3.1906317700176366e-07
1261.856883066021 2.7112501633370186e-07
1484.9682622544635 2.3038943629333432e-07
1747.5284000076829 1.957742108555788e-07
2056.5123083486515 1.6635983554277077e-07
2420.1282647943835 1.4136483936350138e-07
2848.035868435799 1.2012524755126902e-07
3351.6026509388407 1.0532573449819196e-07
3944.206059437656 9.398087998981684e-08
4641.588833612773 8.385800553450214e-08
5462.277217684337 7.48254934515327e-08
6428.073117284319 6.676588529794159e-08
7564.633275546291 5.957439738192376e-08
8902.150854450374 5.315753033784617e-08
10476.157527896641 4.954802038185162e-08
12328.467394420659 4.6424087885775993e-08
14508.287784959402 4.3497123903996864e-08
17073.526474706887 4.075470128408631e-08
20092.33002565046 3.818518542763782e-08
23644.894126454074 3.57776721039054e-08
27825.59402207126 3.3521948935499984e-08
32745.49162877725 3.243745821328834e-08
38535.28593710528 3.1913628835059426e-08
45348.78508128582 3.1398249142294704e-08
53366.99231206302 3.0891200074240366e-08
62802.914418342465 3.039233458785512e-08
73907.22033525775 2.990152690969517e-08
86974.90026177834 2.941864598168856e-08
102353.10218990248 2.8943562642370203e-08
120450.35402587811 2.982407746145391e-08
141747.4162926805 3.0811183075600065e-08
166810.0537200059 3.183097167046719e-08
196304.06500402684 3.288450149304989e-08
231012.9700083158 3.397290356799381e-08
271858.824273294 3.5097335548992114e-08
319926.71377973846 3.6258972491397e-08
376493.58067924634 3.745906045158014e-08
443062.14575838775 3.8698871604640384e-08
521400.82879996847 3.9979718970933586e-08
613590.7273413163 4.130295454925214e-08
722080.9018385457 4.266999966611691e-08
849753.4359086438 4.408227879499917e-08
1000000.0 4.554129780998497e-08
